,bath,balcony,total_sqft_new,area_type_sq_feet,availability_maped,location_maped,size_sqft,society_maped
167,2.0,1.0,1500.0,1300.0,82,428,1350.0,765.0
168,2.0,1.0,1060.0,1100.0,82,428,900.0,765.0
169,2.0,2.0,1470.0,1100.0,82,596,1350.0,2104.0
170,6.0,0.0,1300.0,1300.0,82,738,2700.0,
171,1.0,1.0,450.0,1300.0,82,157,450.0,996.0
172,2.0,1.0,1152.0,1300.0,28,428,900.0,1621.0
173,2.0,1.0,1350.0,1300.0,82,428,1350.0,765.0
174,3.0,3.0,1550.0,1300.0,82,300,1350.0,2462.0
175,3.0,2.0,1500.0,1500.0,82,295,480.0,
176,3.0,2.0,600.0,1500.0,82,747,800.0,
177,1.0,0.0,400.0,1500.0,82,877,160.0,
178,1.0,2.0,705.0,1300.0,82,807,450.0,2637.0
179,1.0,1.0,770.0,1100.0,82,428,900.0,765.0
180,2.0,3.0,1242.0,1300.0,82,561,900.0,164.0
181,3.0,2.0,1700.0,1300.0,82,526,1350.0,809.0
182,3.0,2.0,2144.0,1300.0,82,1187,1350.0,2316.0
183,3.0,2.0,1704.0,1300.0,69,1263,1350.0,2026.0
184,2.0,1.0,1070.0,1300.0,82,428,900.0,765.0
185,3.0,2.0,1846.0,1500.0,82,79,480.0,
186,2.0,2.0,1340.0,1300.0,82,602,900.0,
187,2.0,1.0,1025.0,1100.0,82,428,900.0,765.0
188,2.0,0.0,1277.5,1300.0,82,642,900.0,1204.0
189,2.0,2.0,1200.0,1300.0,82,820,900.0,2663.0
190,4.0,1.0,2250.0,1100.0,30,681,640.0,
191,2.0,3.0,1550.0,1300.0,82,952,1350.0,1287.0
192,5.0,,1200.0,1500.0,82,242,640.0,
193,7.0,1.0,1800.0,1500.0,82,427,1120.0,
194,2.0,2.0,1200.0,1300.0,82,820,900.0,96.0
195,2.0,2.0,1327.0,1300.0,82,1305,900.0,1775.0
196,2.0,2.0,1186.0,1300.0,82,736,900.0,
197,3.0,1.0,1783.0,1100.0,82,789,480.0,
198,3.0,2.0,1400.0,1300.0,82,505,1350.0,1423.0
199,2.0,1.0,980.0,1300.0,82,875,900.0,
200,2.0,2.0,1285.0,1300.0,82,425,900.0,
201,2.0,1.0,912.0,1300.0,82,773,1350.0,
202,2.0,2.0,1225.0,1100.0,82,1296,900.0,2101.0
203,2.0,1.0,1075.0,1300.0,82,1296,900.0,
204,2.0,2.0,1260.0,1100.0,82,651,1350.0,1238.0
205,2.0,2.0,1282.0,1300.0,82,1305,1350.0,1777.0
206,3.0,2.0,1909.0,1300.0,82,726,1350.0,396.0
207,2.0,1.0,1359.0,1300.0,82,944,900.0,1626.0
208,2.0,2.0,1207.0,1100.0,82,880,900.0,
209,6.0,0.0,1736.0,1500.0,82,937,640.0,
210,4.0,1.0,2850.0,1300.0,60,31,1800.0,
211,3.0,2.0,1595.0,1300.0,82,671,1350.0,692.0
212,3.0,2.0,1798.0,1100.0,34,920,1350.0,
213,3.0,2.0,1475.0,1300.0,82,433,1350.0,1957.0
214,3.0,3.0,1580.0,1300.0,82,1179,1350.0,910.0
215,2.0,1.0,1295.0,1300.0,82,370,900.0,2543.0
216,6.0,0.0,3600.0,1100.0,82,793,960.0,
217,1.0,1.0,589.0,1300.0,82,428,450.0,973.0
218,3.0,3.0,1415.0,1300.0,82,910,1350.0,
219,3.0,2.0,1787.0,1300.0,30,1076,1350.0,1092.0
220,3.0,2.0,1787.0,1300.0,82,1076,1350.0,1092.0
221,2.0,3.0,1475.0,1300.0,82,733,1350.0,1597.0
222,4.0,1.0,2000.0,1100.0,82,767,1800.0,
223,2.0,1.0,984.0,1300.0,47,1076,900.0,231.0
224,,,1630.0,1300.0,42,375,1350.0,1033.0
225,4.0,2.0,2405.0,1300.0,82,857,1350.0,1260.0
226,2.0,2.0,1080.0,1100.0,82,76,900.0,362.0
227,2.0,1.0,1500.0,1500.0,82,1103,320.0,
228,3.0,2.0,1900.0,1300.0,82,525,1350.0,
229,2.0,1.0,805.0,1300.0,41,414,900.0,
230,2.0,2.0,1153.0,1300.0,82,285,900.0,1668.0
231,2.0,2.0,1148.0,1300.0,82,393,900.0,121.0
232,2.0,2.0,1110.0,1300.0,82,859,900.0,1160.0
233,2.0,2.0,1100.0,1100.0,82,428,900.0,2038.0
234,2.0,2.0,1290.0,1300.0,82,663,900.0,156.0
235,2.0,1.0,1500.0,1300.0,82,418,1350.0,
236,2.0,2.0,1080.0,1300.0,28,220,900.0,
237,3.0,1.0,1933.0,1300.0,69,1263,1350.0,2086.0
238,5.0,2.0,3500.0,1100.0,82,1024,800.0,
239,2.0,2.0,1060.0,1100.0,82,744,900.0,
240,1.0,1.0,645.0,1300.0,29,312,450.0,2514.0
241,8.0,2.0,2600.0,1500.0,82,849,1280.0,
242,1.0,1.0,645.0,1300.0,39,312,450.0,2514.0
243,3.0,3.0,1644.0,1300.0,82,152,1350.0,1904.0
244,2.0,3.0,1285.0,1300.0,82,897,900.0,2524.0
245,3.0,1.0,1200.0,1500.0,82,428,480.0,
246,2.0,1.0,910.0,1300.0,82,428,900.0,476.0
247,3.0,1.0,1577.0,1300.0,82,736,1350.0,334.0
248,3.0,2.0,4050.0,1500.0,24,841,480.0,2407.0
249,3.0,2.0,2420.0,1300.0,82,917,1350.0,954.0
250,1.0,1.0,800.0,1300.0,82,312,900.0,1046.0
251,2.0,2.0,1060.0,1100.0,82,121,900.0,
252,2.0,2.0,1270.0,1300.0,82,76,900.0,355.0
253,2.0,2.0,900.0,1300.0,34,1114,900.0,
254,2.0,1.0,1280.0,1100.0,82,752,320.0,
255,2.0,0.0,1200.0,1500.0,82,545,640.0,
256,2.0,2.0,1025.0,1100.0,82,1076,900.0,
257,2.0,1.0,1108.0,1300.0,22,428,900.0,1621.0
258,5.0,,1200.0,1500.0,82,784,800.0,
259,3.0,2.0,3045.0,1300.0,82,355,1350.0,404.0
260,3.0,2.0,2900.0,1500.0,82,115,640.0,2573.0
261,3.0,2.0,1500.0,1300.0,82,1263,1350.0,979.0
262,2.0,2.0,1295.0,1300.0,82,1004,900.0,853.0
263,2.0,1.0,1162.0,1300.0,82,285,900.0,1668.0
264,2.0,2.0,1035.0,1300.0,82,1076,900.0,2636.0
265,4.0,0.0,1600.0,1100.0,82,157,640.0,1458.0
266,3.0,2.0,1464.0,1300.0,82,644,1350.0,
267,2.0,2.0,1866.0,1300.0,38,534,1350.0,523.0
268,1.0,1.0,700.0,1300.0,82,462,900.0,1007.0
269,3.0,2.0,1804.0,1300.0,82,657,1350.0,1660.0
270,2.0,1.0,913.0,1300.0,82,1075,900.0,
271,3.0,2.0,1868.0,1300.0,65,1180,1350.0,2288.0
272,2.0,1.0,883.0,1100.0,82,708,900.0,
273,2.0,1.0,900.0,1500.0,82,1159,320.0,
274,2.0,3.0,1664.0,1300.0,82,726,1350.0,
275,3.0,2.0,2026.0,1300.0,82,527,1350.0,2314.0
276,2.0,1.0,1210.0,1300.0,82,194,900.0,2296.0
277,4.0,2.0,4111.0,1500.0,82,841,640.0,2407.0
278,3.0,3.0,1762.0,1300.0,82,651,1350.0,124.0
279,3.0,3.0,1252.0,1300.0,82,621,1350.0,510.0
280,2.0,1.0,861.0,1100.0,82,472,900.0,1355.0
281,2.0,1.0,1420.0,1100.0,82,76,1350.0,362.0
282,6.0,0.0,1450.0,1500.0,82,1143,960.0,
283,3.0,1.0,1490.0,1100.0,82,433,1350.0,782.0
284,2.0,1.0,1075.0,1300.0,82,275,1350.0,
285,2.0,2.0,1425.0,1300.0,29,924,1350.0,2064.0
286,2.0,1.0,1200.0,1100.0,82,657,900.0,1440.0
287,2.0,2.0,1280.0,1300.0,82,653,1350.0,
288,2.0,2.0,1084.0,1300.0,82,1118,900.0,318.0
289,2.0,2.0,1015.0,1300.0,33,312,900.0,2514.0
290,2.0,1.0,1017.0,1300.0,71,681,900.0,824.0
291,2.0,2.0,1027.0,1300.0,82,518,900.0,
292,2.0,2.0,1069.0,1300.0,82,430,900.0,501.0
293,2.0,1.0,1349.0,1300.0,82,525,900.0,1641.0
294,2.0,1.0,1005.0,1300.0,82,81,900.0,1441.0
295,2.0,3.0,1417.0,1300.0,82,599,900.0,224.0
296,3.0,1.0,1475.0,1500.0,32,1176,480.0,
297,2.0,2.0,950.0,1000.0,82,831,900.0,1949.0
298,4.0,0.0,2000.0,1300.0,82,984,1800.0,1623.0
299,3.0,1.0,880.0,1500.0,82,464,480.0,
300,3.0,2.0,1863.0,1300.0,82,1076,1800.0,94.0
301,2.0,1.0,1010.0,1300.0,82,1122,900.0,1658.0
302,2.0,1.0,1425.0,1300.0,82,657,1350.0,2210.0
303,3.0,0.0,1450.0,1300.0,82,1263,1350.0,2536.0
304,3.0,2.0,1847.0,1300.0,82,736,1350.0,2325.0
305,2.0,3.0,1100.0,1300.0,82,84,900.0,2348.0
306,1.0,1.0,525.0,1300.0,54,681,450.0,1617.0
307,3.0,2.0,1665.0,1300.0,82,804,1350.0,1751.0
308,4.0,3.0,1664.0,1300.0,82,237,1800.0,1691.0
309,3.0,3.0,1850.0,1300.0,82,589,1350.0,1277.0
310,2.0,3.0,1438.0,1300.0,82,944,900.0,2699.0
311,3.0,3.0,1560.0,1300.0,82,1160,1350.0,1298.0
312,2.0,1.0,1350.0,1300.0,28,1305,900.0,
313,3.0,3.0,1550.0,1300.0,82,681,1350.0,987.0
314,2.0,2.0,1140.0,1300.0,28,806,900.0,
315,5.0,2.0,1200.0,1500.0,82,1143,800.0,
316,2.0,2.0,850.0,1300.0,30,719,900.0,
317,2.0,2.0,1280.0,1300.0,82,1296,900.0,842.0
318,2.0,2.0,1170.0,1100.0,82,855,900.0,
319,2.0,1.0,1113.0,1300.0,82,847,900.0,1763.0
320,2.0,1.0,1385.0,1300.0,82,534,900.0,1375.0
321,2.0,1.0,1128.0,1300.0,28,428,900.0,1621.0
322,2.0,2.0,1200.0,1500.0,82,820,320.0,
323,4.0,3.0,1200.0,1500.0,82,104,640.0,
324,3.0,2.0,2390.0,1300.0,82,1009,1350.0,1595.0
325,4.0,1.0,2400.0,1500.0,82,464,640.0,
326,3.0,2.0,1464.0,1300.0,82,518,1350.0,1424.0
327,2.0,2.0,1200.0,1300.0,82,809,900.0,
328,2.0,2.0,1200.0,1300.0,82,696,900.0,52.0
329,2.0,1.0,1150.0,1300.0,82,654,1350.0,301.0
330,3.0,2.0,1645.0,1100.0,82,230,1350.0,968.0
331,2.0,1.0,1000.0,1300.0,59,1076,900.0,
332,4.0,2.0,2650.0,1500.0,82,518,640.0,
333,2.0,2.0,1192.0,1300.0,82,71,900.0,864.0
334,3.0,2.0,2135.0,1300.0,82,1216,1350.0,1035.0
335,2.0,1.0,1173.0,1300.0,42,1296,900.0,1525.0
336,2.0,2.0,1020.0,1100.0,82,1219,900.0,2520.0
337,6.0,2.0,3122.0,1300.0,82,1192,1800.0,1722.0
338,3.0,3.0,1600.0,1300.0,82,1127,1350.0,
339,2.0,0.0,1200.0,1500.0,35,1174,320.0,
340,2.0,3.0,1230.0,1000.0,82,851,900.0,
341,2.0,2.0,1250.0,1300.0,82,6,900.0,468.0
342,2.0,2.0,1325.0,1300.0,82,657,900.0,1740.0
343,3.0,1.0,1850.0,1100.0,82,76,1350.0,361.0
344,,,525.0,1300.0,65,681,450.0,1617.0
345,2.0,2.0,1200.0,1300.0,82,231,900.0,
346,2.0,0.0,1350.0,1500.0,82,286,480.0,
347,3.0,1.0,1260.0,1300.0,34,277,1350.0,1991.0
348,3.0,0.0,1800.0,1300.0,82,969,1350.0,2716.0
349,3.0,2.0,11.0,1500.0,30,1164,480.0,1647.0
350,2.0,1.0,1100.0,1100.0,82,144,900.0,1377.0
351,2.0,1.0,1508.0,1300.0,82,521,900.0,2383.0
352,3.0,2.0,1592.0,1000.0,82,1068,1350.0,1748.0
353,2.0,3.0,1388.0,1300.0,82,103,900.0,2067.0
354,1.0,1.0,630.0,1300.0,36,430,450.0,1956.0
355,3.0,2.0,2000.0,1500.0,82,983,480.0,
356,3.0,1.0,1762.0,1300.0,82,213,1350.0,
357,2.0,2.0,950.0,1300.0,65,192,900.0,
358,5.0,3.0,3252.0,1300.0,82,724,1800.0,2302.0
359,2.0,1.0,1116.0,1300.0,29,793,900.0,2812.0
360,2.0,2.0,1308.0,1300.0,82,894,900.0,202.0
361,3.0,0.0,1200.0,1300.0,82,789,1350.0,
362,4.0,2.0,1500.0,1500.0,82,273,640.0,
363,1.0,1.0,500.0,1100.0,82,222,450.0,
364,2.0,1.0,1075.0,1300.0,82,530,900.0,1944.0
365,1.0,0.0,530.0,1300.0,35,312,450.0,2245.0
366,2.0,3.0,1205.0,1100.0,82,242,900.0,
367,2.0,2.0,1075.0,1300.0,82,66,900.0,1328.0
368,2.0,2.0,930.0,1100.0,82,642,900.0,920.0
369,2.0,1.0,1380.0,1300.0,82,194,900.0,716.0
370,5.0,2.0,2483.0,1300.0,82,525,1800.0,1641.0
371,2.0,2.0,1166.0,1100.0,82,722,900.0,2228.0
372,2.0,1.0,1050.0,1300.0,82,222,900.0,1437.0
373,3.0,2.0,2023.71,1300.0,47,474,1350.0,2358.0
374,2.0,2.0,1200.0,1300.0,82,238,900.0,613.0
375,2.0,1.0,1600.0,1300.0,82,766,1350.0,1742.0
376,3.0,2.0,1935.0,1300.0,82,271,1350.0,1294.0
377,1.0,0.0,451.0,1300.0,36,78,450.0,1284.0
378,3.0,2.0,1800.0,1300.0,82,428,1350.0,2219.0
379,3.0,0.0,1400.0,1300.0,36,604,1350.0,2162.0
380,3.0,2.0,1801.0,1300.0,82,527,1350.0,2314.0
381,2.0,,1451.0,1100.0,82,794,900.0,1462.0
382,1.0,1.0,1200.0,1500.0,44,131,320.0,
383,2.0,2.0,1160.0,1300.0,82,238,900.0,613.0
384,2.0,1.0,1000.0,1100.0,82,706,900.0,
385,2.0,1.0,950.0,1300.0,82,681,900.0,2818.0
386,3.0,2.0,1629.0,1100.0,54,543,1350.0,
387,2.0,0.0,1580.0,1100.0,82,1263,1350.0,
388,3.0,2.0,1826.0,1300.0,69,1263,1350.0,2086.0
389,2.0,1.0,1245.0,1100.0,82,76,900.0,666.0
390,2.0,2.0,1145.0,1300.0,82,1004,900.0,1157.0
391,2.0,1.0,825.0,1300.0,82,1129,900.0,2506.0
392,3.0,3.0,1693.0,1300.0,29,1312,1350.0,215.0
393,2.0,2.0,1113.27,1300.0,82,433,900.0,500.0
394,2.0,1.0,1460.0,1100.0,82,149,900.0,2661.0
395,2.0,1.0,1050.0,1100.0,82,406,900.0,1890.0
396,2.0,2.0,1260.0,1100.0,82,392,900.0,2602.0
397,3.0,,700.0,1300.0,82,632,2700.0,
398,2.0,1.0,1656.0,1100.0,82,556,900.0,2593.0
399,3.0,1.0,1208.0,1300.0,82,312,1350.0,2705.0
400,3.0,2.0,1910.0,1300.0,82,1296,1350.0,357.0
401,4.0,1.0,3252.0,1300.0,82,1296,1800.0,876.0
402,2.0,1.0,1200.0,1500.0,82,236,320.0,
403,4.0,1.0,1200.0,1300.0,82,469,1800.0,
404,2.0,1.0,1175.0,1300.0,82,76,900.0,355.0
405,2.0,0.0,1000.0,1500.0,82,664,320.0,
406,2.0,0.0,1200.0,1500.0,82,222,640.0,
407,3.0,2.0,2390.0,1300.0,82,1009,1350.0,1595.0
408,6.0,3.0,12000.0,1300.0,44,1009,3150.0,
409,1.0,1.0,550.0,1500.0,82,1156,320.0,
410,1.0,0.0,370.9243530732,1300.0,82,706,450.0,
411,2.0,,1185.0,1300.0,82,1071,900.0,921.0
412,2.0,1.0,750.0,1300.0,82,706,900.0,2649.0
413,7.0,3.0,1200.0,1500.0,82,796,960.0,
414,3.0,3.0,1550.0,1300.0,82,681,1350.0,987.0
415,3.0,2.0,1760.0,1100.0,82,117,1350.0,911.0
416,2.0,2.0,1125.0,1300.0,82,271,900.0,241.0
417,3.0,2.0,1350.0,1500.0,82,872,480.0,
418,2.0,1.0,1000.0,1500.0,18,123,320.0,
419,2.0,2.0,1090.0,1100.0,29,278,900.0,
420,2.0,0.0,1200.0,1500.0,82,1176,320.0,
421,4.0,2.0,1991.0,1300.0,82,285,1350.0,1668.0
422,2.0,1.0,1060.0,1300.0,38,277,900.0,570.0
423,2.0,1.0,1105.0,1300.0,82,113,900.0,1903.0
424,2.0,2.0,985.0,1100.0,82,542,900.0,616.0
425,5.0,3.0,1533.0,1500.0,82,312,960.0,
426,3.0,2.0,1590.0,1300.0,21,194,1350.0,903.0
427,2.0,2.0,1120.0,1300.0,82,300,900.0,2462.0
428,2.0,1.0,1069.0,1300.0,82,1064,900.0,1971.0
429,3.0,2.0,1933.0,1300.0,82,820,1350.0,1663.0
430,2.0,0.0,1194.0,1100.0,12,556,900.0,1747.0
431,2.0,3.0,1150.0,1300.0,82,284,900.0,596.0
432,2.0,2.0,1240.0,1300.0,82,1308,900.0,
433,2.0,2.0,1419.0,1300.0,82,1004,900.0,853.0
434,8.0,,1200.0,1500.0,82,76,1280.0,
435,4.0,,2150.0,1300.0,82,1041,1350.0,337.0
436,3.0,2.0,1450.0,1300.0,82,1154,1350.0,1237.0
437,3.0,2.0,1630.0,1300.0,33,1213,1350.0,1602.0
438,1.0,1.0,708.0,1300.0,82,368,900.0,2557.0
