,area_type,availability,location,size,society,total_sqft,bath,balcony,price
21,Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,102.03880222266935
22,Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,29.276139513476558
23,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,62.4817563184856
24,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,98.51490994311577
25,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,179.0228181043314
26,Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,101.6507624577141
27,Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,53.004684206920395
28,Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,57.45979647516266
29,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,134.0723052213703
30,Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,60.9795591394887
31,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,77.1932222292721
32,Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,56.20993365962506
33,Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,253.52348552208383
34,Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,34.93766356448862
35,Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,96.20874571642246
36,Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,524.9014396881182
37,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,51.26346349268934
38,Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,131.46669067857894
39,Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,73.5685759178343
40,Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,126.55969727895184
41,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,175.83855154285794
42,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,119.66412751353478
43,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,47.000640436534255
44,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,132.3910844012961
45,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,74.61496398360764
46,Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,43.58409725481374
47,Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,45.56788944703374
48,Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,49.14304023077361
49,Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,245.87560977394853
50,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,129.02338847057572
51,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,106.38431731266898
52,Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,54.27045866993268
53,Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,76.67835763359068
54,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,44.56062451382219
55,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,40.187288189532474
56,Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,360.9142769048244
57,Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,151.78518032745814
58,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,104.54464771453166
59,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,68.8654980335554
60,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,117.57518505884511
61,Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,51.44781008266713
62,Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,47.36087705180945
63,Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,72.05624638859928
64,Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,72.39502421312385
65,Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,43.17146442030068
66,Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,52.18808868352008
67,Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,246.56040996444776
68,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,60.995517112945535
69,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,70.05171899481047
70,Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,146.1270470571507
71,Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,78.27713007549058
72,Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,126.92649678798193
73,Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,66.37537633097322
74,Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,138.5952087417733
75,Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,47.0146288701676
76,Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,62.23965127055413
77,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,62.67900274619687
78,Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,374.0858511504575
79,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,90.88639086115518
80,Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,45.95641439546243
81,Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,76.97353846694277
82,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,47.350208278013874
83,Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,55.25783131679762
84,Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,156.27744708974464
85,Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,63.39256636655653
86,Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,43.47038689004763
87,Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,39.28357240405709
88,Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,172.2203761495076
89,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,65.8066825391505
90,Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,46.110448811351915
91,Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,39.62037770961108
92,Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,58.99918304758573
93,Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,46.646320688632805
94,Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,69.30431735130892
95,Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,66.61147441841501
96,Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,34.78541562056901
97,Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,85.2007775943706
98,Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,96.11500864303467
99,Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,84.61399736394783
100,Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,114.26700363500925
101,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,37.20576265362275
102,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,51.986178022473844
103,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,67.06067834558935
104,Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,48.01613320189892
105,Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,67.29802892841664
106,Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,129.0072234412418
107,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,60.4300006328694
108,Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,79.04465675185817
109,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,78.9748826556258
110,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,57.618512587617026
111,Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,55.04540984592728
112,Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,87.94135232908326
113,Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,119.34953094957567
114,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,88.92196854146498
115,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,60.22980301480415
116,Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,68.28126349325751
117,Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,36.77401595502748
118,Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,68.05196148905489
119,Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,35.93853707992651
120,Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,39.122242408546064
121,Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,126.06675800168591
122,Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,47.97778427682029
123,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,65.58721144820068
124,Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,60.994782075277286
125,Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,245.85540171883932
126,Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,290.2679077628144
127,Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,238.58613110826957
128,Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,38.11128791012529
129,Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,314.9329245331164
130,Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,40.89693465665646
131,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,91.09055970751238
132,Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,255.59353971545355
133,Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,120.80229323858681
134,Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,93.52762427965699
135,Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,172.2203761495076
136,Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,427.62855655662474
137,Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,156.42838288818277
138,Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,46.84707752489788
139,Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,48.80771149359731
140,Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,16.796813766089336
141,Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,18.495277743410874
142,Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,165.51617056498375
143,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,90.15777863573797
144,Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,54.770907144037906
145,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,52.490887539437225
146,Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,117.64023754392194
147,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,105.10714522356953
148,Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,119.64349716518765
149,Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,69.8229251548784
150,Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,102.40567317855808
151,Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,42.744687357853735
152,Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,102.29060298537544
153,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,42.07556357839219
154,Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,,1060,2.0,1.0,40.18070405897366
155,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,35.23498303341164
156,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,190.6395993253652
157,Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1350,4.0,2.0,148.06071550287473
158,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280,4.0,2.0,157.85653490296647
159,Carpet  Area,Ready To Move,Pulkeshi Nagar,2 BHK,ElaleSp,1250,2.0,3.0,71.40056144211098
160,Built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Dhniaad,1016,2.0,1.0,53.24668829272572
161,Plot  Area,Ready To Move,Jinkethimmanahalli,5 Bedroom,,1230,5.0,1.0,149.6331530169067
162,Built-up  Area,Ready To Move,TPV Layout,3 BHK,Crior E,1480,3.0,0.0,73.60406773886847
163,Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,736,1.0,0.0,39.89495378672406
164,Plot  Area,Ready To Move,Esther Enclave Layout,1 Bedroom,,1200,1.0,1.0,78.63706041892216
165,Plot  Area,17-Jan,Whitefield,4 Bedroom,Ieuseut,1400,4.0,2.0,147.2625622197607
166,Built-up  Area,Ready To Move,Whitefield,3 BHK,Pae 1ov,1500,2.0,1.0,78.88744081749438
167,Built-up  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,1000,3.0,1.0,84.08205505252882
168,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1717,3.0,3.0,100.01739852959672
169,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2.0,2.0,56.09344882417557
170,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2.0,0.0,68.05196148905489
171,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1200,2.0,2.0,60.94537735342552
172,Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Suise S,1130,2.0,1.0,48.78696679828538
173,Super built-up  Area,Ready To Move,New Thippasandra,3 BHK,,1575,2.0,2.0,74.54861153795039
174,Super built-up  Area,19-Jun,Yelahanka,3 BHK,Vaaram ,1892 - 2798,3.0,0.0,140.74099131506088
175,Super built-up  Area,Ready To Move,Mico Layout,3 BHK,Amsomun,1685,3.0,2.0,100.07698322265469
176,Super built-up  Area,Ready To Move,Kanaka Nagar,2 BHK,,1000,2.0,3.0,41.73339304205032
177,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,,1100,2.0,2.0,45.62009550692892
178,Plot  Area,Ready To Move,Bellandur,3 Bedroom,Vaodssh,2400,3.0,2.0,212.79182527717006
179,Super built-up  Area,18-Dec,Sarjapur  Road,2 BHK,PualeSk,1346,2.0,1.0,82.25660878837466
180,Super built-up  Area,19-Dec,Whitefield,1 BHK,Oreldhi,524 - 894,1.0,0.0,38.54578142869007
181,Super built-up  Area,Ready To Move,Benson Town,4 BHK,DFityin,2938,6.0,2.0,221.09038767619194
182,Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1908,3.0,2.0,148.49164162074263
183,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3.0,1.0,115.23681087841233
184,Built-up  Area,Ready To Move,Banashankari Stage VI,4 BHK,,3150,4.0,0.0,227.55718952648002
185,Super built-up  Area,Ready To Move,"JP nagar 9th phase , ",3 BHK,,1846,3.0,2.0,121.70116501363897
186,Built-up  Area,Ready To Move,Hormavu,5 Bedroom,,2000,4.0,2.0,115.15281705663946
187,Super built-up  Area,18-Mar,BTM Layout,2 BHK,Sudeslv,920,2.0,1.0,42.0967536317638
188,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Jae 1ke,700,2.0,2.0,28.6274867538749
189,Super built-up  Area,Ready To Move,Hoodi Layout,3 BHK,SVstos ,1610,3.0,2.0,94.27366892838555
190,Plot  Area,18-Mar,Lingarajapuram,4 Bedroom,,1200,3.0,1.0,110.5376588467852
191,Plot  Area,Ready To Move,Whitefield,5 Bedroom,Ske 2ad,3927,5.0,3.0,371.9242498779069
192,Super built-up  Area,18-Apr,Jalahalli,3 BHK,DSata S,1222,2.0,2.0,48.06618525558991
193,Super built-up  Area,Ready To Move,Gottigere,2 BHK,DSghtra,900,2.0,1.0,36.17551549471524
194,Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,127.63580217630577
195,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,1200,2.0,1.0,77.60758704844956
196,Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,,1080,2.0,0.0,63.54161693310378
197,Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,51.6067823446436
198,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1530,2.0,2.0,66.47114271068916
199,Plot  Area,Ready To Move,Vivek Nagar,4 Bedroom,,2025,3.0,0.0,143.51890274076888
200,Super built-up  Area,Ready To Move,Electronic City,3 BHK,BrnoxEq,1700,3.0,2.0,106.79413848086038
201,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ariew J,900,2.0,2.0,57.31774745306295
202,Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,,650,1.0,2.0,32.470269631957976
203,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1207,2.0,2.0,50.00472619749258
204,Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,76.08155780423448
205,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2425,3.0,2.0,216.5890162123698
206,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1724,3.0,2.0,104.4728076265973
207,Plot  Area,Ready To Move,Abbigere,4 Bedroom,,1200,4.0,,147.92346968223015
208,Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,1 BHK,Prllsan,648,1.0,0.0,31.757413006847848
209,Super built-up  Area,18-Oct,Kathriguppe,2 BHK,,1115,2.0,2.0,50.444323277672275
210,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,,3750,4.0,2.0,400.82031295714967
211,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,2600,3.0,,212.73669615270452
212,Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1561,3.0,2.0,73.42209551229038
213,Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1050,2.0,0.0,47.302388358372646
214,Plot  Area,Ready To Move,R.T. Nagar,7 Bedroom,,2400,8.0,,304.7529598287744
215,Super built-up  Area,18-Sep,HBR Layout,1 BHK,SLvasNi,534 - 763,1.0,0.0,35.38335869604
216,Super built-up  Area,Ready To Move,Doddabommasandra,2 BHK,MaaveEn,1150,2.0,2.0,49.332257322098926
217,Super built-up  Area,Ready To Move,Chikkasanne,3 BHK,Hieryni,1550,3.0,1.0,78.68520276452034
218,Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,Patri M,937,2.0,1.0,35.36434977663382
219,Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2340,3.0,2.0,311.87369505700025
220,Plot  Area,Ready To Move,Electronic City,2 Bedroom,,2100,2.0,2.0,134.92353625998678
221,Built-up  Area,Ready To Move,Herohalli,1 Bedroom,,600,1.0,0.0,52.18812695391469
222,Built-up  Area,Ready To Move,Harlur,5 Bedroom,Shodsir,3600,5.0,3.0,243.0789067654751
223,Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,Puinaia,1935,2.0,1.0,120.42032162622374
224,Super built-up  Area,18-May,Haralur Road,4 BHK,SNnia E,3210,6.0,,268.87988973033845
225,Super built-up  Area,18-Mar,Electronic City,2 BHK,Prarkun,1108,2.0,1.0,56.171606034957755
226,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,Kaamai ,985,1.0,2.0,64.21406681097623
227,Super built-up  Area,Ready To Move,Gottigere,3 BHK,KSicaxo,1500,3.0,2.0,75.92109375200185
228,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1185,2.0,2.0,47.844170640434974
229,Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1545,3.0,2.0,73.44877657924512
230,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2.0,2.0,67.6114855749802
231,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2.0,1.0,70.4407824788795
232,Plot  Area,Ready To Move,Vijaya Bank Layout,5 Bedroom,,2400,5.0,1.0,298.67054493265107
233,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,62.49881426146688
234,Super built-up  Area,18-Aug,1st Phase JP Nagar,2 BHK,,1080,2.0,2.0,53.523466122383766
235,Super built-up  Area,Ready To Move,Chokkanahalli,3 BHK,DSineSu,1350,2.0,2.0,48.24015998833516
236,Built-up  Area,Ready To Move,Bellandur,2 BHK,Kritel ,1300,2.0,1.0,71.93424239138149
237,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cooutid,1800,2.0,3.0,103.53408420145088
238,Super built-up  Area,18-Feb,Uttarahalli,2 BHK,DSera S,1068,2.0,1.0,40.24387022158237
239,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1170,2.0,2.0,55.91751004770943
240,Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,OmentCl,1200,2.0,3.0,60.87836351388609
241,Plot  Area,Ready To Move,Thyagaraja Nagar,4 Bedroom,,800,3.0,2.0,94.41610246406461
242,Super built-up  Area,Ready To Move,Arekere,3 BHK,,1809,2.0,3.0,96.15285719757703
243,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1615,3.0,2.0,91.04407460287176
244,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3.0,2.0,101.30917475241137
245,Super built-up  Area,18-Jun,Kogilu,3 BHK,Leora E,2215,5.0,1.0,190.28159081221673
246,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,113.59097491378564
247,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,,49.913022052915935
248,Plot  Area,19-Dec,Kasavanhalli,4 Bedroom,,4395,4.0,2.0,402.920454532986
249,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1611,2.0,2.0,76.29758545224517
250,Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1160,2.0,2.0,55.42712237704986
251,Super built-up  Area,18-Apr,Attibele,2 BHK,,1150,2.0,2.0,47.30035776060366
252,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1260,2.0,1.0,77.14189774768218
253,Super built-up  Area,Ready To Move,Whitefield,3 BHK,TZllaes,2750,3.0,3.0,204.49250689970913
254,Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1196,2.0,1.0,53.55657177298448
255,Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3.0,2.0,127.63580217630577
